id,direction,path_family,entry_mode,continuation_or_fade,graph,origin_id,primitive_ids,context_conditions,has_fvg,has_ifvg,has_rb,has_sweep,entry_seq,entry_ts,entry_price,structural_stop,structural_target,natural_rr,executed_target,executed_rr,expiry_seq,expiry_rule,eligible,rejected,rejection_reason,outcome
SETUP-041413,short,fade,formation_close,fade,vwap:band_reject_+1.618 -> fade_to_vwap,VWAP-000001,VWAP-000001,band_rejection,False,False,False,False,5,2025-07-06 22:05:00+00:00,23008.5,23011.5,22993.340270460132,5.0532,23005.5,1.0,125,120_bars_or_segment_end,True,False,,WIN
SETUP-041414,short,fade,formation_close,fade,vwap:band_reject_+1.618 -> fade_to_vwap,VWAP-000001,VWAP-000001,band_rejection,False,False,False,False,6,2025-07-06 22:06:00+00:00,23000.0,23011.5,22993.7548146904,0.5431,22993.7548146904,0.5431,126,120_bars_or_segment_end,True,False,,AMBIGUOUS
SETUP-041415,short,fade,formation_close,fade,vwap:band_reject_+1.618 -> fade_to_vwap,VWAP-000001,VWAP-000001,band_rejection,False,False,False,False,8,2025-07-06 22:08:00+00:00,23006.0,23022.5,22995.574190021864,0.6319,22995.574190021864,0.6319,128,120_bars_or_segment_end,True,False,,WIN
SETUP-041416,short,retracement_continuation,first_touch,continuation,vwap:bounce -> continuation,VWAP-000001,VWAP-000001,vwap_bounce,False,False,False,False,11,2025-07-06 22:11:00+00:00,22992.25,23003.75,22977.0,1.3261,22980.75,1.0,131,120_bars_or_segment_end,True,False,,LOSS
SETUP-041417,short,retracement_continuation,first_touch,continuation,vwap:bounce -> continuation,VWAP-000001,VWAP-000001,vwap_bounce,False,False,False,False,12,2025-07-06 22:12:00+00:00,22991.0,22996.5,22977.0,2.5455,22985.5,1.0,132,120_bars_or_segment_end,True,False,,LOSS
SETUP-041418,short,formation_continuation,formation_close,continuation,vwap:break_accept_below -> continuation,VWAP-000001,VWAP-000001,vwap_accept_below,False,False,False,False,12,2025-07-06 22:12:00+00:00,22991.0,22996.270686043466,22977.0,2.6562,22985.729313956534,1.0,132,120_bars_or_segment_end,True,False,,LOSS
SETUP-041419,short,retracement_continuation,first_touch,continuation,vwap:bounce -> continuation,VWAP-000001,VWAP-000001,vwap_bounce,False,False,False,False,13,2025-07-06 22:13:00+00:00,22988.5,22998.0,22977.0,1.2105,22979.0,1.0,133,120_bars_or_segment_end,True,False,,LOSS
SETUP-041420,long,retracement_continuation,first_touch,continuation,vwap:bounce -> continuation,VWAP-000001,VWAP-000001,vwap_bounce,False,False,False,False,15,2025-07-06 22:15:00+00:00,23004.0,22992.0,23022.0,1.5,23016.0,1.0,135,120_bars_or_segment_end,True,False,,LOSS
SETUP-041421,long,formation_continuation,formation_close,continuation,vwap:break_accept_above -> continuation,VWAP-000001,VWAP-000001,vwap_accept_above,False,False,False,False,16,2025-07-06 22:16:00+00:00,23006.0,22995.65121645936,23022.0,1.5461,23016.34878354064,1.0,136,120_bars_or_segment_end,True,False,,LOSS
SETUP-042539,short,fade,formation_close,fade,compression -> failed_break -> return_to_range_fade,STRUCT-000001,STRUCT-000001,failed_break,False,False,False,False,17,2025-07-06 22:17:00+00:00,23002.0,23007.5,22988.25,2.5,22996.5,1.0,137,120_bars_or_segment_end,True,False,,WIN
SETUP-041422,short,retracement_continuation,first_touch,continuation,vwap:bounce -> continuation,VWAP-000001,VWAP-000001,vwap_bounce,False,False,False,False,21,2025-07-06 22:21:00+00:00,22992.75,23001.25,22988.25,0.5294,22988.25,0.5294,141,120_bars_or_segment_end,True,False,,LOSS
SETUP-041423,short,formation_continuation,formation_close,continuation,vwap:break_accept_below -> continuation,VWAP-000001,VWAP-000001,vwap_accept_below,False,False,False,False,22,2025-07-06 22:22:00+00:00,22996.0,22996.878535027274,22988.25,8.8215,22995.121464972726,1.0,142,120_bars_or_segment_end,True,False,,LOSS
SETUP-041424,long,retracement_continuation,first_touch,continuation,vwap:bounce -> continuation,VWAP-000001,VWAP-000001,vwap_bounce,False,False,False,False,23,2025-07-06 22:23:00+00:00,22997.75,22995.75,23008.25,5.25,22999.75,1.0,143,120_bars_or_segment_end,True,False,,AMBIGUOUS
SETUP-005086,long,fade,formation_close,fade,liquidity:swing_low:sweep -> reject -> fade,LVL-000072,LVL-000072,liquidity_sweep,False,False,False,True,25,2025-07-06 22:25:00+00:00,22989.5,22987.0,22990.75,0.5,22990.75,0.5,145,120_bars_or_segment_end,True,False,,LOSS
SETUP-042580,long,retracement_continuation,retest,continuation,liquidity:swing_low:break -> accept -> retest -> continuation,LVL-000072,LVL-000072,liquidity_accepted,False,False,False,False,25,2025-07-06 22:25:00+00:00,22988.25,22986.75,22990.75,1.6667,22989.75,1.0,145,120_bars_or_segment_end,True,False,,LOSS
SETUP-005110,short,fade,formation_close,fade,liquidity:swing_low:sweep -> reject -> fade,LVL-000074,LVL-000074,liquidity_sweep,False,False,False,True,31,2025-07-06 22:31:00+00:00,22987.25,22992.0,22981.0,1.3158,22982.5,1.0,151,120_bars_or_segment_end,True,False,,WIN
SETUP-005133,long,fade,formation_close,fade,liquidity:swing_low:sweep -> reject -> fade,LVL-000077,LVL-000077,liquidity_sweep,False,False,False,True,32,2025-07-06 22:32:00+00:00,22981.5,22978.25,22988.25,2.0769,22984.75,1.0,152,120_bars_or_segment_end,True,False,,LOSS
SETUP-005154,long,fade,formation_close,fade,liquidity:swing_low:sweep -> reject -> fade,LVL-000078,LVL-000078,liquidity_sweep,False,False,False,True,32,2025-07-06 22:32:00+00:00,22981.5,22978.25,22988.25,2.0769,22984.75,1.0,152,120_bars_or_segment_end,True,False,,LOSS
SETUP-041427,long,fade,formation_close,fade,vwap:band_reject_-1.618 -> fade_to_vwap,VWAP-000001,VWAP-000001,band_rejection,False,False,False,False,32,2025-07-06 22:32:00+00:00,22981.5,22978.25,22994.99900722021,4.1535,22984.75,1.0,152,120_bars_or_segment_end,True,False,,LOSS
SETUP-042584,long,retracement_continuation,retest,continuation,liquidity:swing_low:break -> accept -> retest -> continuation,LVL-000077,LVL-000077,liquidity_accepted,False,False,False,False,32,2025-07-06 22:32:00+00:00,22981.0,22979.5,22988.25,4.8333,22982.5,1.0,152,120_bars_or_segment_end,True,False,,AMBIGUOUS
SETUP-041428,long,fade,formation_close,fade,vwap:band_reject_-1.618 -> fade_to_vwap,VWAP-000001,VWAP-000001,band_rejection,False,False,False,False,33,2025-07-06 22:33:00+00:00,22979.75,22977.25,22994.736423801918,5.9946,22982.25,1.0,153,120_bars_or_segment_end,True,False,,WIN
SETUP-005111,short,fade,formation_close,fade,liquidity:swing_low:sweep -> reject -> fade,LVL-000074,LVL-000074,liquidity_sweep,False,False,False,True,34,2025-07-06 22:34:00+00:00,22988.5,22993.75,22981.0,1.4286,22983.25,1.0,154,120_bars_or_segment_end,True,False,,LOSS
SETUP-005175,short,fade,formation_close,fade,liquidity:swing_high:sweep -> reject -> fade,LVL-000079,LVL-000079,liquidity_sweep,False,False,False,True,34,2025-07-06 22:34:00+00:00,22988.5,22993.75,22981.0,1.4286,22983.25,1.0,154,120_bars_or_segment_end,True,False,,LOSS
SETUP-005087,long,fade,formation_close,fade,liquidity:swing_low:sweep -> reject -> fade,LVL-000072,LVL-000072,liquidity_sweep,False,False,False,True,35,2025-07-06 22:35:00+00:00,22988.75,22986.25,22990.75,0.8,22990.75,0.8,155,120_bars_or_segment_end,True,False,,WIN
SETUP-005088,long,fade,formation_close,fade,liquidity:swing_low:sweep -> reject -> fade,LVL-000072,LVL-000072,liquidity_sweep,False,False,False,True,36,2025-07-06 22:36:00+00:00,22994.75,22986.25,23001.25,0.7647,23001.25,0.7647,156,120_bars_or_segment_end,True,False,,LOSS
SETUP-041429,long,retracement_continuation,first_touch,continuation,vwap:bounce -> continuation,VWAP-000001,VWAP-000001,vwap_bounce,False,False,False,False,36,2025-07-06 22:36:00+00:00,22994.75,22986.25,23001.25,0.7647,23001.25,0.7647,156,120_bars_or_segment_end,True,False,,LOSS
SETUP-041430,long,retracement_continuation,first_touch,continuation,vwap:bounce -> continuation,VWAP-000001,VWAP-000001,vwap_bounce,False,False,False,False,37,2025-07-06 22:37:00+00:00,22995.25,22991.25,23001.25,1.5,22999.25,1.0,157,120_bars_or_segment_end,True,False,,LOSS
SETUP-041431,long,formation_continuation,formation_close,continuation,vwap:break_accept_above -> continuation,VWAP-000001,VWAP-000001,vwap_accept_above,False,False,False,False,37,2025-07-06 22:37:00+00:00,22995.25,22994.002534960156,23001.25,4.8098,22996.497465039844,1.0,157,120_bars_or_segment_end,True,False,,LOSS
SETUP-005176,long,fade,formation_close,fade,liquidity:swing_high:sweep -> reject -> fade,LVL-000079,LVL-000079,liquidity_sweep,False,False,False,True,38,2025-07-06 22:38:00+00:00,22994.75,22990.25,23001.25,1.4444,22999.25,1.0,158,120_bars_or_segment_end,True,False,,LOSS
SETUP-041432,long,retracement_continuation,first_touch,continuation,vwap:bounce -> continuation,VWAP-000001,VWAP-000001,vwap_bounce,False,False,False,False,38,2025-07-06 22:38:00+00:00,22994.75,22990.25,23001.25,1.4444,22999.25,1.0,158,120_bars_or_segment_end,True,False,,LOSS
SETUP-042581,long,retracement_continuation,retest,continuation,liquidity:swing_low:break -> accept -> retest -> continuation,LVL-000074,LVL-000074,liquidity_accepted,False,False,False,False,38,2025-07-06 22:38:00+00:00,22990.75,22989.25,22991.5,0.5,22991.5,0.5,158,120_bars_or_segment_end,True,False,,WIN
SETUP-042586,short,retracement_continuation,retest,continuation,liquidity:swing_high:break -> accept -> retest -> continuation,LVL-000079,LVL-000079,liquidity_accepted,False,False,False,False,38,2025-07-06 22:38:00+00:00,22991.5,22993.0,22990.75,0.5,22990.75,0.5,158,120_bars_or_segment_end,True,False,,LOSS
SETUP-041433,short,retracement_continuation,first_touch,continuation,vwap:bounce -> continuation,VWAP-000001,VWAP-000001,vwap_bounce,False,False,False,False,39,2025-07-06 22:39:00+00:00,22993.25,22995.75,22991.5,0.7,22991.5,0.7,159,120_bars_or_segment_end,True,False,,WIN
SETUP-005112,short,fade,formation_close,fade,liquidity:swing_low:sweep -> reject -> fade,LVL-000074,LVL-000074,liquidity_sweep,False,False,False,True,43,2025-07-06 22:43:00+00:00,22990.0,22991.75,22988.25,1.0,22988.25,1.0,163,120_bars_or_segment_end,True,False,,LOSS
SETUP-005113,long,fade,formation_close,fade,liquidity:swing_low:sweep -> reject -> fade,LVL-000074,LVL-000074,liquidity_sweep,False,False,False,True,45,2025-07-06 22:45:00+00:00,22993.0,22989.25,22996.5,0.9333,22996.5,0.9333,165,120_bars_or_segment_end,True,False,,WIN
SETUP-005179,long,fade,formation_close,fade,liquidity:swing_high:sweep -> reject -> fade,LVL-000079,LVL-000079,liquidity_sweep,False,False,False,True,45,2025-07-06 22:45:00+00:00,22993.0,22989.25,22996.5,0.9333,22996.5,0.9333,165,120_bars_or_segment_end,True,False,,WIN
SETUP-005214,short,fade,formation_close,fade,liquidity:swing_high:sweep -> reject -> fade,LVL-000081,LVL-000081,liquidity_sweep,False,False,False,True,46,2025-07-06 22:46:00+00:00,22996.25,22997.75,22991.5,3.1667,22994.75,1.0,166,120_bars_or_segment_end,True,False,,AMBIGUOUS
SETUP-041436,long,retracement_continuation,first_touch,continuation,vwap:bounce -> continuation,VWAP-000001,VWAP-000001,vwap_bounce,False,False,False,False,46,2025-07-06 22:46:00+00:00,22996.25,22992.75,23001.25,1.4286,22999.75,1.0,166,120_bars_or_segment_end,True,False,,LOSS
SETUP-005215,short,fade,formation_close,fade,liquidity:swing_high:sweep -> reject -> fade,LVL-000081,LVL-000081,liquidity_sweep,False,False,False,True,47,2025-07-06 22:47:00+00:00,22994.75,22999.0,22991.5,0.7647,22991.5,0.7647,167,120_bars_or_segment_end,True,False,,WIN
