context_conditions,n_context_conditions,occurrence_id,setup_def_version,tf,session_globex_day,segment_id,direction,origin_family,origin_object_id,origin_extreme,trigger_object_id,trigger_index,C_index,trigger_ts_et,availability_et,entry,structural_stop,structural_target,target_kind,risk_points,risk_atr,target_R,expiry_E_bars,resolve_H_1m,exact_graph,reduced_graph,broad_family,structural_score,sc_context_coherence,sc_trigger_clarity,sc_displacement_quality,sc_freshness,sc_invalidation_clarity,sc_target_room,sc_contradiction,primitive_ids,outcome,entry_fill_et,resolution_et,realized_R,favorable,mfe_R,mae_R,time_to_target_min,time_to_invalidation_min,target_still_valid,feat_direction,feat_session,feat_origin_family,feat_time_anchor,feat_displacement_atr,feat_path_efficiency,feat_fvg_tf,feat_fvg_width_atr,feat_vwap_side,feat_nearest_vwap_band,feat_nearest_band_dist_atr,feat_level_family,feat_target_distance_R,feat_opposing_distance_atr,feat_volatility_bucket,feat_risk_atr,prior_global_p,prior_global_R,exact_n,exact_wins,exact_losses,exact_fav_rate,exact_mean_R,reduced_n,reduced_fav_rate,reduced_mean_R,broad_n,broad_fav_rate,broad_mean_R,global_n,w_exact,w_reduced,w_broad,shrunk_favorable_probability,shrunk_expected_R,evidence_count,effective_sample_size,uncertainty_halfwidth,final_predicted_class
origin=VWAP_BAND | anchor=off_anchor | vwap_below,3,OC-5m-20260706T0010-L-VWA,cg-recognizer-v1.0.0,5m,2026-07-06,6,long,VWAP_BAND,VWAP-1.618-2026-07-06,29735.61541082722,FVG-5m-bull-20260706T0015,35897,35898,2026-07-06 00:10:00-04:00,2026-07-06 00:20:00-04:00,29769.0,29745.25,29782.0,level,23.75,0.699,0.547,20,120,VWAP_BAND(06)|long|5m->DISP->FVG_bull->FILL,ORIGIN_VWAP_BAND|long|5m->DISPLACEMENT->FVG_RETEST,VWAP_BAND|long,70.462,1.0,0.8138,0.7646,1.0,0.949,0.1825,0.6172,ORIGIN:VWAP-1.618-2026-07-06 ; TRIGGER_FVG:FVG-5m-bull-20260706T0015,WIN,2026-07-06 01:29:00-04:00,2026-07-06 01:29:00-04:00,0.5473684210526316,True,0.547,0.053,0.0,,True,long,2026-07-06,VWAP_BAND,off_anchor,1.737,0.529,5m,0.699,below,-1.0,0.536,,0.547,0.383,normal,0.699,0.7818,0.3014,0,0,0,,,66,0.9242,0.3541,111,0.8919,0.2172,660,0.0,0.767,0.735,0.9099,0.3275,0.0,66.0,0.0691,FAVORABLE
origin=VWAP_BAND | anchor=off_anchor | vwap_below,3,OC-15m-20260706T0015-L-VWA,cg-recognizer-v1.0.0,15m,2026-07-06,6,long,VWAP_BAND,VWAP-1.0-2026-07-06,29786.362100167695,FVG-15m-bull-20260706T0030,11966,11967,2026-07-06 00:15:00-04:00,2026-07-06 00:45:00-04:00,29788.5,29778.0,29790.75,level,10.5,0.17,0.214,20,120,VWAP_BAND(06)|long|15m->DISP->FVG_bull->FILL,ORIGIN_VWAP_BAND|long|15m->DISPLACEMENT->FVG_RETEST,VWAP_BAND|long,63.208,1.0,0.7143,0.818,1.0,0.5791,0.0714,0.9636,ORIGIN:VWAP-1.0-2026-07-06 ; TRIGGER_FVG:FVG-15m-bull-20260706T0030,WIN,2026-07-06 01:21:00-04:00,2026-07-06 01:21:00-04:00,0.21428571428571427,True,1.452,0.119,0.0,,True,long,2026-07-06,VWAP_BAND,off_anchor,1.588,0.636,15m,0.17,below,-1.0,0.044,,0.214,0.036,normal,0.17,0.7818,0.3014,0,0,0,,,45,0.8444,0.0164,111,0.8919,0.2172,660,0.0,0.692,0.735,0.8501,0.085,0.0,45.0,0.1043,NEUTRAL
origin=VWAP_BAND | anchor=off_anchor | vwap_below,3,OC-5m-20260706T0120-L-VWA,cg-recognizer-v1.0.0,5m,2026-07-06,6,long,VWAP_BAND,VWAP-1.0-2026-07-06,29784.667731359004,FVG-5m-bull-20260706T0140,35911,35915,2026-07-06 01:20:00-04:00,2026-07-06 01:45:00-04:00,29773.0,29770.0,29782.0,level,3.0,0.12,3.0,20,120,VWAP_BAND(06)|long|5m->DISP->FVG_bull->FILL,ORIGIN_VWAP_BAND|long|5m->DISPLACEMENT->FVG_RETEST,VWAP_BAND|long,64.77,1.0,0.5999,0.3727,1.0,0.4647,1.0,0.6387,ORIGIN:VWAP-1.0-2026-07-06 ; TRIGGER_FVG:FVG-5m-bull-20260706T0140,LOSS,2026-07-06 01:47:00-04:00,2026-07-06 01:47:00-04:00,-1.0,False,2.583,2.0,,0.0,True,long,2026-07-06,VWAP_BAND,off_anchor,0.733,0.257,5m,0.12,below,-1.0,0.398,,3.0,0.361,low,0.12,0.7818,0.3014,0,0,0,,,66,0.9242,0.3541,111,0.8919,0.2172,660,0.0,0.767,0.735,0.9099,0.3275,0.0,66.0,0.0691,FAVORABLE
origin=VWAP_BAND | anchor=off_anchor | vwap_below,3,OC-15m-20260706T0130-L-VWA,cg-recognizer-v1.0.0,15m,2026-07-06,6,long,VWAP_BAND,VWAP-1.0-2026-07-06,29782.905865934445,FVG-15m-bull-20260706T0245,11971,11976,2026-07-06 01:30:00-04:00,2026-07-06 03:00:00-04:00,29832.5,29797.0,29848.25,level,35.5,0.724,0.444,20,120,VWAP_BAND(06)|long|15m->DISP->FVG_bull->FILL,ORIGIN_VWAP_BAND|long|15m->DISPLACEMENT->FVG_RETEST,VWAP_BAND|long,70.541,1.0,0.8024,0.8123,1.0,0.9375,0.1479,0.6789,ORIGIN:VWAP-1.0-2026-07-06 ; TRIGGER_FVG:FVG-15m-bull-20260706T0245,WIN,2026-07-06 03:01:00-04:00,2026-07-06 03:04:00-04:00,0.44366197183098594,True,0.458,0.077,3.0,,True,long,2026-07-06,VWAP_BAND,off_anchor,1.763,0.625,15m,0.724,below,-1.0,1.06,,0.444,0.321,low,0.724,0.7818,0.3014,0,0,0,,,45,0.8444,0.0164,111,0.8919,0.2172,660,0.0,0.692,0.735,0.8501,0.085,0.0,45.0,0.1043,NEUTRAL
origin=FVG_FAILURE | anchor=off_anchor | vwap_below,3,OC-5m-20260706T0205-S-FVG,cg-recognizer-v1.0.0,5m,2026-07-06,6,short,FVG_FAILURE,FVG-5m-bull-20260706T0140,29773.0,FVG-5m-bear-20260706T0210,35920,35921,2026-07-06 02:05:00-04:00,2026-07-06 02:15:00-04:00,29771.0,29786.5,29768.25,level,15.5,0.618,0.177,20,120,FVG_FAILURE(20260706T0140)|short|5m->DISP->FVG_bear->FILL,ORIGIN_FVG_FAILURE|short|5m->DISPLACEMENT->FVG_RETEST,FVG_FAILURE|short,65.746,1.0,0.8551,0.6633,1.0,0.9903,0.0591,0.8904,ORIGIN:FVG-5m-bull-20260706T0140 ; TRIGGER_FVG:FVG-5m-bear-20260706T0210,WIN,2026-07-06 02:22:00-04:00,2026-07-06 02:22:00-04:00,0.1774193548387097,True,0.548,0.161,0.0,,True,short,2026-07-06,FVG_FAILURE,off_anchor,1.265,0.483,5m,0.618,below,-1.0,0.406,,0.177,0.11,normal,0.618,0.7818,0.3014,0,0,0,,,163,0.7239,0.2257,213,0.7324,0.2431,660,0.0,0.891,0.842,0.7257,0.2286,0.0,163.0,0.0685,FAVORABLE
origin=FVG_FAILURE | anchor=off_anchor | vwap_below,3,OC-5m-20260706T0225-L-FVG,cg-recognizer-v1.0.0,5m,2026-07-06,6,long,FVG_FAILURE,FVG-5m-bear-20260706T0210,29786.5,FVG-5m-bull-20260706T0230,35924,35925,2026-07-06 02:25:00-04:00,2026-07-06 02:35:00-04:00,29784.5,29778.5,29790.75,level,6.0,0.259,1.042,20,120,FVG_FAILURE(20260706T0210)|long|5m->DISP->FVG_bull->FILL,ORIGIN_FVG_FAILURE|long|5m->DISPLACEMENT->FVG_RETEST,FVG_FAILURE|long,73.097,1.0,0.8552,0.8604,1.0,0.72,0.3472,0.7301,ORIGIN:FVG-5m-bear-20260706T0210 ; TRIGGER_FVG:FVG-5m-bull-20260706T0230,EXPIRED,,,,False,,,,,True,long,2026-07-06,FVG_FAILURE,off_anchor,2.537,0.721,5m,0.259,below,-1.0,0.195,,1.042,0.27,normal,0.259,0.7818,0.3014,0,0,0,,,173,0.7457,0.3527,230,0.7696,0.3516,660,0.0,0.896,0.852,0.7483,0.3519,0.0,173.0,0.0647,FAVORABLE
origin=VWAP_BAND | anchor=off_anchor | vwap_below,3,OC-5m-20260706T0225-L-VWA,cg-recognizer-v1.0.0,5m,2026-07-06,6,long,VWAP_BAND,VWAP-1.0-2026-07-06,29780.25746470918,FVG-5m-bull-20260706T0230,35924,35925,2026-07-06 02:25:00-04:00,2026-07-06 02:35:00-04:00,29784.5,29778.5,29790.75,level,6.0,0.259,1.042,20,120,VWAP_BAND(06)|long|5m->DISP->FVG_bull->FILL,ORIGIN_VWAP_BAND|long|5m->DISPLACEMENT->FVG_RETEST,VWAP_BAND|long,73.097,1.0,0.8552,0.8604,1.0,0.72,0.3472,0.7301,ORIGIN:VWAP-1.0-2026-07-06 ; TRIGGER_FVG:FVG-5m-bull-20260706T0230,EXPIRED,,,,False,,,,,True,long,2026-07-06,VWAP_BAND,off_anchor,2.537,0.721,5m,0.259,below,-1.0,0.195,,1.042,0.27,normal,0.259,0.7818,0.3014,0,0,0,,,66,0.9242,0.3541,111,0.8919,0.2172,660,0.0,0.767,0.735,0.9099,0.3275,0.0,66.0,0.0691,FAVORABLE
origin=FVG_FAILURE | anchor=off_anchor | vwap_below,3,OC-5m-20260706T0230-L-FVG,cg-recognizer-v1.0.0,5m,2026-07-06,6,long,FVG_FAILURE,FVG-5m-bear-20260706T0125,29802.5,FVG-5m-bull-20260706T0235,35925,35926,2026-07-06 02:30:00-04:00,2026-07-06 02:40:00-04:00,29817.0,29797.0,29848.25,level,20.0,0.857,1.562,20,120,FVG_FAILURE(20260706T0125)|long|5m->DISP->FVG_bull->FILL,ORIGIN_FVG_FAILURE|long|5m->DISPLACEMENT->FVG_RETEST,FVG_FAILURE|long,79.735,1.0,0.746,0.8768,1.0,0.8812,0.5208,0.0,ORIGIN:FVG-5m-bear-20260706T0125 ; TRIGGER_FVG:FVG-5m-bull-20260706T0235,WIN,2026-07-06 03:30:00-04:00,2026-07-06 03:34:00-04:00,1.5625,True,1.575,0.038,4.0,,True,long,2026-07-06,FVG_FAILURE,off_anchor,2.785,0.754,5m,0.857,below,-1.0,1.583,,1.562,1.339,normal,0.857,0.7818,0.3014,0,0,0,,,173,0.7457,0.3527,230,0.7696,0.3516,660,0.0,0.896,0.852,0.7483,0.3519,0.0,173.0,0.0647,FAVORABLE
origin=FVG_FAILURE | anchor=off_anchor | vwap_below,3,OC-15m-20260706T0330-L-FVG,cg-recognizer-v1.0.0,15m,2026-07-06,6,long,FVG_FAILURE,FVG-15m-bear-20260705T2130,29867.25,FVG-15m-bull-20260706T0445,11979,11984,2026-07-06 03:30:00-04:00,2026-07-06 05:00:00-04:00,29838.5,29833.25,29848.25,level,5.25,0.11,1.857,20,120,FVG_FAILURE(20260705T2130)|long|15m->DISP->FVG_bull->FILL,ORIGIN_FVG_FAILURE|long|15m->DISPLACEMENT->FVG_RETEST,FVG_FAILURE|long,59.81,1.0,0.5709,0.4631,1.0,0.4357,0.619,0.795,ORIGIN:FVG-15m-bear-20260705T2130 ; TRIGGER_FVG:FVG-15m-bull-20260706T0445,LOSS,2026-07-06 05:48:00-04:00,2026-07-06 05:48:00-04:00,-1.0,False,0.81,2.095,,0.0,True,long,2026-07-06,FVG_FAILURE,off_anchor,0.899,0.327,15m,0.11,below,-1.0,1.192,,1.857,0.205,normal,0.11,0.7818,0.3014,0,0,0,,,57,0.8421,0.3483,230,0.7696,0.3516,660,0.0,0.74,0.852,0.8237,0.3472,0.0,57.0,0.0989,FAVORABLE
origin=FVG_FAILURE | anchor=off_anchor | vwap_above,3,OC-5m-20260706T0340-L-FVG,cg-recognizer-v1.0.0,5m,2026-07-06,6,long,FVG_FAILURE,FVG-5m-bear-20260706T0325,29848.0,FVG-5m-bull-20260706T0345,35939,35940,2026-07-06 03:40:00-04:00,2026-07-06 03:50:00-04:00,29866.25,29850.75,29877.0,level,15.5,0.687,0.694,20,120,FVG_FAILURE(20260706T0325)|long|5m->DISP->FVG_bull->FILL,ORIGIN_FVG_FAILURE|long|5m->DISPLACEMENT->FVG_RETEST,FVG_FAILURE|long,65.597,1.0,0.8196,0.5162,1.0,0.9547,0.2312,0.5234,ORIGIN:FVG-5m-bear-20260706T0325 ; TRIGGER_FVG:FVG-5m-bull-20260706T0345,LOSS,2026-07-06 03:50:00-04:00,2026-07-06 04:00:00-04:00,-1.0,False,0.613,1.323,,10.0,True,long,2026-07-06,FVG_FAILURE,off_anchor,1.02,0.352,5m,0.687,above,+1.0,3.44,,0.694,0.477,normal,0.687,0.7818,0.3014,0,0,0,,,173,0.7457,0.3527,230,0.7696,0.3516,660,0.0,0.896,0.852,0.7483,0.3519,0.0,173.0,0.0647,FAVORABLE
